time,open,high,low,close,Trend,Trade,Trend,Trade,Buy,Buy,Mega Buy,Sell,Mega Sell,Up Target 1,Down Target 1,Up Target 2,Down Target 2,Period Open,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume,Hurst Exponent 64,Hurst Exponent 256,Period 1,Period 2,Period 3,Vixfix,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Volatility,Trade,Trend,52-weeks high,52-weeks low
1534858200,48.95,49.23,48.81,48.99,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,,,,,384889,,,,,,,-72.24408046561759,-72.24408046561759,-52.692871699984224,-52.692871699984224,,,,,,,,,
1534944600,48.85,49.03,48.75,48.93,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.10532811647919,48.38578915198352,51.67688425880367,45.823636380859945,501855,,,,,,,-56.92497018125184,-56.92497018125184,-54.103571193740095,-54.103571193740095,,,,,,,,,
1535031000,48.88,49.17,48.7199,48.73,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.088935790292254,48.300896617762305,51.641399436492456,45.75488938139686,283725,,,,,,,-52.80456271050402,-52.80456271050402,-50.20654574403188,-50.20654574403188,,,,,,,,,
1535117400,48.96,49.44,48.88,49.44,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,49.780820425885054,48.14517932231815,51.523063771707626,45.576473446559255,330882,,,,,,,-39.42616242950826,-39.42616242950826,-12.669361867516734,-12.669361867516734,,,,,,,,,
1535376600,49.75,50.019,49.6609,49.92,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.08013498527463,48.489603979213726,51.974723511654844,46.12333026709616,299237,,,,,,,-13.335205643169662,-13.335205643169662,38.846707929507545,38.846707929507545,,,,,,,,,
1535463000,50.06,50.06,49.631,49.7,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.20134049489447,48.7077704864856,52.36649426962197,46.4943597112981,150238,,,,,,-18.302826300247933,15.617605098023503,15.617605098023503,73.52322658040984,73.52322658040984,156.54940527941147,-293.15727729682135,,,,,,,
1535549400,49.83,50.02,49.67,49.98,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.08958180506294,48.603254753521725,52.19132027948048,46.30685836493904,270866,,,,,,-19.609220682154586,42.69424981632258,42.69424981632258,96.84753925292075,96.84753925292075,156.54940527941147,-293.15727729682135,,,,,,,
1535635800,49.81,50.035,49.48,49.67,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.344438501099845,48.75707007289088,52.424749121448016,46.52365719928722,344409,,,,,,-31.62777529379821,62.889182715459285,62.889182715459285,103.2790485137327,103.2790485137327,156.54940527941147,-293.15727729682135,,,,,,,
1535722200,49.62,49.62,49.0419,49.18,,,,,0,0,0,0,0,50.6805,45.7485,52.801,43.628,48.56,,,50.48877807677192,48.586528225362585,52.172716640768456,46.262509421288875,234969,,,,,,-59.340032006224114,65.33214830983286,65.33214830983286,70.21807949858,70.21807949858,156.54940527941147,-293.15727729682135,,,,,,,
1536067800,49.05,49.05,48.3999,48.57,,,,,0,0,0,0,0,51.14,47.97,52.220000000000006,46.88999999999999,49.05,,,50.21586885948355,48.32312099234396,51.78908311858641,45.85143425502728,343694,,,,,,-99.95009548346076,19.89583721375906,19.89583721375906,50.18671127780826,50.18671127780826,156.54940527941147,-293.15727729682135,,,,,,,
1536154200,48.52,48.52,47.76,47.94,,,,,0,0,0,0,0,51.14,47.97,52.220000000000006,46.88999999999999,49.05,,,49.949016728454176,47.84764877120863,51.39247654050188,45.337629059811235,773599,,,,,,-140.427322304464,-30.11217615100093,-30.11217615100093,23.420415468205192,23.420415468205192,156.54940527941147,-293.15727729682135,,,,,,,
1536240600,47.91,47.98,47.17,47.58,,,,,0,0,0,0,0,51.14,47.97,52.220000000000006,46.88999999999999,49.05,,,49.716001973466234,47.338516793497185,50.96923503644997,44.802866159326,599592,,,,,,-177.74809715114566,-72.88456454781519,-72.88456454781519,-8.68124453713493,-8.68124453713493,156.54940527941147,-293.15727729682135,,,,,,,
1536327000,47.28,47.95,47.23,47.68,,,,,0,0,0,0,0,51.14,47.97,52.220000000000006,46.88999999999999,49.05,,,49.52950498777159,47.444233358023524,50.71636409207863,44.4895514438922,755726,,,,,,-173.95276411589018,-101.83649635505161,-101.83649635505161,-39.73299514310715,-39.73299514310715,156.54940527941147,-293.15727729682135,,,,,,,
1536586200,47.98,47.98,47.5587,47.78,,,,,0,0,0,0,0,51.14,47.97,52.220000000000006,46.88999999999999,49.05,,,49.53151366735675,47.15945663741997,50.773288185537055,44.56026879448776,310874,,,,,,-153.16066463774692,-117.77367780323141,-117.77367780323141,-65.74655602981524,-65.74655602981524,156.54940527941147,-293.15727729682135,,,,,,,
1536672600,47.72,48.36,47.66,48.26,,,,,0,0,0,0,0,51.14,47.97,52.220000000000006,46.88999999999999,49.05,,,49.54684658148327,46.96172133989886,50.83203407781976,44.63233746239652,615753,,,,,,-146.75287736322372,-104.52440249161462,-104.52440249161462,-78.67250485041504,-78.67250485041504,156.54940527941147,-293.15727729682135,,,,,,,
