time,open,high,low,close,Trend,Trade,Trend,Trade,Buy,Buy,Mega Buy,Sell,Mega Sell,Up Target 1,Down Target 1,Up Target 2,Down Target 2,Period Open,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume,Hurst Exponent 64,Hurst Exponent 256,Period 1,Period 2,Period 3,Vixfix,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Volatility,Trade,Trend,52-weeks high,52-weeks low
1540819800,268.8,270.25,259.85,263.86,286.20563127491414,281.64616324283935,286.20563127491414,281.64616324283935,0,0,0,0,0,297.555,288.495,301.17,284.88,292.11,279.32446830422043,274.46553169577953,,,,,160749101,0.7,0.62,-1.5842932111181143,-2.097052854037385,-0.5203845042973377,-300.25401471505774,-184.51931155971303,-184.51931155971303,-159.77932536020415,-159.77932536020415,220.18050007397795,-341.29450744318,,,11.489202261734437,4.105995150483177,2.537249573563083,,
1540906200,263.67,268.12,263.12,267.77,286.16011472891034,280.931592135277,286.16011472891034,280.931592135277,0,0,0,0,0,297.555,288.495,301.17,284.88,292.11,279.3845049783676,274.40549502163236,,,,,157115995,0.72,0.61,-1.823916693099395,-1.8596179682428773,-0.3424280134672158,-269.45631621699516,-181.82338565862784,-181.82338565862784,-167.1273454596787,-167.1273454596787,220.18050007397795,-341.29450744318,,,10.375366169357578,4.35185283749786,2.552910146182053,,
1540992600,270.65,273.23,270.12,270.63,286.1285352789025,280.51680812997205,286.1285352789025,280.51680812997205,0,0,0,0,0,297.555,288.495,301.17,284.88,292.11,279.4065998229316,274.3834001770683,,,,,128296325,0.72,0.62,-1.4043468611127858,-1.637166563053822,-0.018252801166840665,-203.44131231923677,-157.66059628051545,-157.66059628051545,-138.7270979221889,-138.7270979221889,220.18050007397795,-341.29450744318,,,7.9910075618230065,4.494564787471394,2.563775475683833,,
1541079000,271.6,273.73,270.38,273.51,286.0975332104132,280.12838428173785,286.0975332104132,280.12838428173785,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.4311104751686,274.35888952483134,,,,,99495037,0.74,0.63,-0.41550873689051193,-1.5684859581794852,0.09315425629920299,-200.99248170798683,-133.6194521261148,-133.6194521261148,-85.53716381731346,-85.53716381731346,220.18050007397795,-341.29450744318,,,7.902445670686011,4.628207175048438,2.574442149400121,,
1541165400,274.75,275.23,269.59,271.89,286.06503044675605,279.72452215304224,286.06503044675605,279.72452215304224,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.43336179751253,274.3566382024874,,,,,122634107,0.73,0.62,-0.6260161154604983,-1.5764084811974652,0.12467999976604052,-188.4315254442311,-103.47201098199606,-103.47201098199606,-43.177128693758604,-43.177128693758604,220.18050007397795,-341.29450744318,,,8.171537570679204,4.7671613082104285,2.5856251572348445,,
1541428200,272.44,274.01,271.35,273.39,286.0360739423669,279.40482716664843,286.0360739423669,279.40482716664843,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.43875696752843,274.3512430324716,,,,,65622482,0.73,0.62,-0.2331901215991635,-1.3845621943826363,0.12177815813691474,-157.22595187164825,-70.73214707095264,-70.73214707095264,-5.25241924886577,-5.25241924886577,220.18050007397795,-341.29450744318,,,7.572041692213354,4.877156617387014,2.595588027434602,,
1541514600,273.32,275.3,273.25,275.12,286.01093353488966,279.17143394442695,286.01093353488966,279.17143394442695,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.4502642405172,274.3397357594828,,,,,60085894,0.74,0.63,0.2183054483542179,-1.2277168623592232,0.18664303436388624,-133.79813809859397,-29.699033101879984,-29.699033101879984,52.367194836265334,52.367194836265334,198.8255613126093,-341.2945074431801,,,6.924858641596835,4.957458657552105,2.6042379187715894,,
1541601000,277.56,281.1,277.08,281.01,285.9934191821726,279.0958875152337,285.9934191821726,279.0958875152337,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.5587390310149,274.23126096898505,,,,,102752099,0.76,0.65,2.2608967379634537,-0.6754178159254298,0.4289259275221213,-94.90834941956713,17.046087259216698,17.046087259216698,110.53632798141007,110.53632798141007,198.8255613126093,-341.2945074431801,,,5.620273860617209,4.9834514106134815,2.6102639646094428,,
1541687400,280.11,281.22,279.22,280.5,285.9801727902002,279.10638604404807,285.9801727902002,279.10638604404807,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.5495761147584,274.2404238852416,,,,,65584886,0.76,0.64,1.476356659117825,-0.7744608312855982,0.45201928766007643,-16.836148319605748,60.22005000547686,60.22005000547686,146.5679754979972,146.5679754979972,198.8255613126093,-341.2945074431801,,,4.8913413720280525,4.979839252237582,2.6148215618270623,,
1541773800,279.03,279.24,276.18,277.76,285.96093967773226,278.99844933643834,285.96093967773226,278.99844933643834,0,0,0,0,0,288.28,243.17000000000004,304.96,226.49000000000007,271.6,279.5678267042205,274.22217329577944,,,,,98812561,0.75,0.63,1.7801891192502626,-0.9780269785805566,0.21566291277038857,-45.4293834545794,90.44021579063715,90.44021579063715,150.88054736095776,150.88054736095776,198.8255613126093,-341.2945074431801,,,5.926834253014503,5.016976311091579,2.6214389698014626,,
