time,open,high,low,close,Trend,Trade,Trend,Trade,Buy,Buy,Mega Buy,Sell,Mega Sell,Up Target 1,Down Target 1,Up Target 2,Down Target 2,Period Open,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume,Hurst Exponent 64,Hurst Exponent 256,Period 1,Period 2,Period 3,Vixfix,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Volatility,Trade,Trend,52-weeks high,52-weeks low
1533821400,76.14,76.34,75.685,75.74,74.32482094596048,74.07521864470878,74.32482094596048,74.07521864470878,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.53064635515786,73.26935364484216,,,,,13085874,0.72,0.64,-0.10455018033258484,1.0777408610518742,0.27203840417712727,-44.80222768641077,89.36703904748879,89.36703904748879,111.5082626773226,111.5082626773226,181.47675597867337,-211.97677971279654,,,1.6055642225689022,3.7357209054812572,3.407947196929665,,
1533907800,75.3,75.43,74.86,75.07,74.3259313936209,74.10680222726921,74.3259313936209,74.10680222726921,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.53598236297915,73.26401763702086,77.8697792596258,74.87624014301558,78.06853337649358,70.6457122559339,10684816,0.71,0.63,-0.37678774898931433,0.8834641476673596,0.13433366963441823,-74.73084132308203,39.42380649823737,39.42380649823737,87.48011061762753,87.48011061762753,181.47675597867337,-211.97677971279654,,,2.6781071242849745,3.6942458552382655,3.406488975006299,,
1534167000,75.38,75.41,74.51,74.71,74.32634731491237,74.12355900267043,74.32634731491237,74.12355900267043,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.5373706800037,73.26262931999631,77.52499559984767,74.27653547277365,77.96267111504734,70.20135718231369,13471775,0.71,0.66,-0.22245120764229173,0.7556686934955615,-0.017624816783528677,-87.42782892651809,-8.16317318737947,-8.16317318737947,55.59901601595853,55.59901601595853,181.47675597867337,-211.97677971279654,,,3.1331253250129962,3.672241128562765,3.4059427938874314,,
1534253400,75,75.53,74.94,75.23,74.32761295464282,74.15635276727158,74.32761295464282,74.15635276727158,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.53971819621131,73.2602818037887,77.32809750047421,73.93498326246636,77.92240823509398,69.95315238135044,8500515,0.7,0.65,-0.7036908474492186,0.8860706171969995,0.3609075362543014,-71.82867272801094,-33.73764051328047,-33.73764051328047,25.820130506212198,25.820130506212198,181.47675597867337,-211.97677971279654,,,2.5741029641185698,3.6291768868198555,3.4042807762455354,,
1534339800,74.61,74.99,73.99,74.87,74.32699694474343,74.15097814894722,74.32699694474343,74.15097814894722,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.54052764204448,73.25947235795553,77.53191182078784,74.37304060034302,78.19872483483545,70.28956415761559,20329384,0.71,0.63,-0.4306824217481878,0.8640922886268104,0.34489937571869833,-106.29192479448089,-65.55212625830606,-65.55212625830606,-4.6372884152938845,-4.6372884152938845,181.47675597867337,-211.97677971279654,,,3.809152366094653,3.6362347487522007,3.405089710490988,,
1534426200,75.46,75.995,75.25,75.82,74.32887447332536,74.1947319470277,74.32887447332536,74.1947319470277,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.55004667215086,73.24995332784916,76.53586458511124,74.03466936789957,78.1337493316181,70.03911747979922,10447180,0.71,0.64,0.01746569625653275,1.0387411915634963,0.3234307401814617,-60.58276942211018,-48.11909057269574,-48.11909057269574,-19.13122246776117,-19.13122246776117,181.47675597867337,-211.97677971279654,,,2.171086843473741,3.5787779681530454,3.4026241702971474,,
1534512600,75.64,76.44,75.61,76.28,74.33146033851352,74.25074638047761,74.33146033851352,74.25074638047761,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.55019293987198,73.24980706012802,77.4309384258285,74.41166517437904,78.60926700863646,70.6741760183911,13993103,0.71,0.65,0.18932284040822195,1.1008552178663784,0.48108275157841845,-47.523010744290055,-17.006290944631356,-17.006290944631356,-12.756427898371726,-12.756427898371726,181.47675597867337,-211.97677971279654,,,1.7030681227249118,3.5052207193127263,3.3992284539183815,,
1534771800,76.44,76.945,76.4,76.79,74.3356036745005,74.33523475771378,74.3356036745005,74.33523475771378,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.53815021595734,73.26184978404267,77.87086245573981,74.49751634081133,78.89672167478129,70.98350834049789,8239331,0.72,0.65,0.3644281695973955,0.8619195568698947,0.39270873467205236,-18.864095867962288,-2.03827213891703,-2.03827213891703,27.89776547251163,27.89776547251163,181.47675597867337,-211.97677971279654,,,0.676027041081638,3.3942719476173897,3.393787492054572,,
1534858200,76.88,77.46,76.88,77.36,74.76506405179714,74.84375717934094,74.76506405179714,74.84375717934094,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.77036078906794,73.50463921093204,78.36230798891557,74.63492108907423,79.21785248804393,71.3311930185908,10033984,0.71,0.65,0.37813404188971705,0.9561158650351399,0.5106747437553343,-17.31397169076067,20.10580748099664,20.10580748099664,64.39396672082398,64.39396672082398,181.47675597867337,-211.97677971279654,,,0.6204756980351654,3.285495624104361,3.3882464095490388,,
1534944600,77.16,77.25,76.61,76.61,74.76876522252282,74.91331572132756,74.76876522252282,74.91331572132756,0,0,0,0,0,80.0325,73.5825,83.08,70.535,76.63,74.77718356967819,73.49781643032178,77.77956856071741,74.84005006424356,79.57857161125335,71.72435483932134,7149661,0.71,0.65,0.2026943577528696,1.1170200448333434,0.28767206683360197,-27.053080766813324,41.23217198993794,41.23217198993794,83.48490100782055,83.48490100782055,181.47675597867337,-211.97677971279654,,,0.969493278179938,3.1946720026955604,3.38341373595989,,
