time,open,high,low,close,Trend,Trade,Trend,Trade,Buy,Buy,Mega Buy,Sell,Mega Sell,Up Target 1,Down Target 1,Up Target 2,Down Target 2,Period Open,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume,Hurst Exponent 64,Hurst Exponent 256,Period 1,Period 2,Period 3,Vixfix,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Volatility,Trade,Trend,52-weeks high,52-weeks low
1532957400,165.25,166.02,164.07,164.2,164.0870276793442,166.4338753276023,164.0870276793442,166.4338753276023,0,0,0,0,0,174.17,158.79,178.14,154.82,162.76,162.05953814803416,159.8504618519658,,,,,20093717,0.72,0.62,-0.5520461366608301,-0.4449271600180918,0.5356901455910938,-151.71058069752254,-58.387155707095786,-58.387155707095786,-5.107861965759504,-5.107861965759504,188.60041778572864,-227.20572752159447,,,3.4712008001412045,2.1014550234935703,3.4961441922049152,,
1533043800,164.53,166.62,164.39,165.87,164.0877445071577,166.35591158926496,164.0877445071577,166.35591158926496,0,0,0,0,0,174.17,158.79,178.14,154.82,162.76,162.29845494796842,160.06154505203162,167.90341226918716,162.72336226639334,174.70091167116712,158.75718381449954,23601020,0.71,0.62,-0.34881460005564513,-0.3330703661945048,0.9695960531392795,-142.44581241065114,-79.77747069883165,-79.77747069883165,-29.99773154345022,-29.99773154345022,188.60041778572864,-227.20572752159447,,,3.2829322821674487,2.147787465010193,3.4957181943826625,,
1533130200,165.7,166.24,164.495,165.76,164.08866759505548,166.28508172301926,164.08866759505548,166.28508172301926,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,162.2977852828444,160.06221471715563,168.48482599772686,163.72548684159676,174.80296535958553,160.03421421366372,17942577,0.71,0.62,-0.47809882755113414,-0.353039407362423,1.2625285614780453,-139.40581031652087,-87.51906327042734,-87.51906327042734,-49.17150878577593,-49.17150878577593,188.60041778572864,-227.20572752159447,,,3.2211566747072977,2.1898803751943934,3.495169619917777,,
1533216600,164.96,167.21,164.94,166.97,164.09046905840205,166.23430596917538,164.09046905840205,166.23430596917538,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,162.61864590692696,160.381354093073,168.380197078416,163.36278271209338,174.2418971207077,159.9221207649817,18292169,0.71,0.61,-0.46908624577836167,-0.3675714068108204,1.069594959085238,-126.52199191759027,-68.084270730166,-68.084270730166,-55.47576276723928,-55.47576276723928,188.60041778572864,-227.20572752159447,,,2.9593457669000416,2.220055488594615,3.4940990427888705,,
1533303000,167.15,167.6799,165.61,166.39,164.09359219714648,166.21153318607045,164.09359219714648,166.21153318607045,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,164.26038767176908,162.0396123282309,169.30957081305803,163.32241908119946,174.64321002224315,160.86303733866487,21735100,0.71,0.61,-0.44777064635017816,-0.2462972889878295,1.2827370482115161,-107.12388331695242,-51.727493268184084,-51.727493268184084,-44.230954270073696,-44.230954270073696,188.60041778572864,-227.20572752159447,,,2.5651585573924724,2.2335889422729625,3.4922430178430237,,
1533562200,166.27,167.51,165.9,167.32,164.0972827222271,166.2009122768128,164.0972827222271,166.2009122768128,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,164.5810454252678,162.36895457473221,168.8488007180017,162.8534890923599,174.01077599359635,160.38170636253747,16288797,0.71,0.6,-0.29320867332380873,-0.06210280897242277,1.3618860396735744,-98.7276870569753,-37.43364896043162,-37.43364896043162,-8.84596034492668,-8.84596034492668,188.60041778572864,-227.20572752159447,,,2.394540212978757,2.2399007568104445,3.4900498054456923,,
1533648600,167.89,168.4933,167.6,167.72,164.1043285109939,166.25670787380054,164.1043285109939,166.25670787380054,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,164.89552460793166,162.68447539206832,169.60057211293795,163.40159451620886,174.5867626623711,161.11445373466023,15045699,0.68,0.61,0.1798965592123607,0.3339826593608504,1.2618860219295975,-49.508605532970286,-13.426427038660638,-13.426427038660638,34.58801680488132,34.58801680488132,188.60041778572864,-227.20572752159447,,,1.3943637112431633,2.2067424412980023,3.4858626204422904,,
1533735000,167.72,167.985,166.49,167.57,164.10916461786505,166.26722129051424,164.10916461786505,166.26722129051424,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,165.28998490246826,163.08001509753174,169.34588204094518,163.496182691091,174.8941311260093,161.42646134682425,14792590,0.67,0.62,0.015138465045158022,0.19271552057922456,1.5846399359654482,-77.65664756573601,11.762518809977369,11.762518809977369,62.14041050725339,62.14041050725339,188.60041778572864,-227.20572752159447,,,2.047420132964635,2.2004945076378704,3.482988609478299,,
1533821400,167.65,168.71,167.55,168,164.1160877654817,166.3184753575529,164.1160877654817,166.3184753575529,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,165.28663303712543,163.0833669628746,168.95544676670278,163.36944682846877,174.86460836055352,161.29418774496517,10537762,0.71,0.61,-0.08663223297858172,0.5954483017354488,1.4362307686981561,-46.94170487182518,38.599216203934745,38.599216203934745,92.2726109918495,92.2726109918495,188.60041778572864,-227.20572752159447,,,1.4237806671765532,2.1700351413452696,3.478874307895279,,
1533907800,167.05,168.665,166.96,167.53,164.12183004766854,166.34481357882532,164.12183004766854,166.34481357882532,0,0,0,0,0,173.565,162.005,177.26000000000002,158.30999999999997,165.7,165.28886644941454,163.08113355058546,169.36910174489566,163.53452738061048,175.19427668189635,161.6365379197738,20521940,0.69,0.61,0.5005942897363993,0.46863429170694626,1.2270998294038513,-64.03775788070014,60.70875324181835,60.70875324181835,104.92782731758557,104.92782731758557,188.60041778572864,-227.20572752159447,,,1.7709007471906753,2.1543828121627366,3.4754617733084565,,
