time,open,high,low,close,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume
1532698200,119.85,119.87,119.4,119.46,120.21829445389255,118.79170554610745,,,,,4542059
1532957400,118.99,119.405,118.97,119.05,120.21973358804865,118.79026641195132,121.16731816667033,117.42472236070859,125.03245565804836,116.37781855840122,7111165
1533043800,119.79,119.86,119.555,119.7,120.21878591543641,118.79121408456358,120.87581771169806,117.00730685554942,124.67001381061107,116.00903580019677,6797432
1533130200,118.285,118.835,118.07,118.46,120.23589824898963,118.77410175101036,121.04414787845079,117.36946900969956,125.26917332987223,116.56544338016242,13312687
1533216600,118.62,118.74,118.3,118.63,120.23311210440468,118.7768878955953,119.8631742191245,116.35810237616039,124.14678848246984,115.47567130097254,4451078
1533303000,118.83,119.29,118.81,119.22,120.23657501555302,118.77342498444698,119.72488514373643,116.40782399966892,124.30825862000103,115.62848698921702,6162443
1533562200,119.54,119.84,119.27,119.29,120.23620014507895,118.77379985492104,120.16061664953783,116.8138993968521,124.8558376676091,116.13737731154039,4200296
1533648600,119.03,119.1,118.57,118.67,120.24030644157776,118.76969355842225,120.21135978864645,116.82530670849339,124.92742463037666,116.18887825338876,5346872
1533735000,118.66,119.025,118.61,118.79,120.23477951158246,118.77522048841753,119.61882598046178,116.27583789586929,124.36247792244697,115.65332148711047,5641629
1533821400,119.23,119.83,119.12,119.79,120.23569118967704,118.77430881032296,119.71849647593878,116.33736048874812,124.47894685863112,115.74724108135483,7144257
1533907800,120.37,121.05,120.28,120.66,120.24257513970787,118.76742486029212,120.34947440696493,117.14997230424329,125.41121090146707,116.5954162484585,8457940
1534167000,120.25,120.7,120.21,120.41,120.23869991947242,118.77130008052755,121.13690538681408,118.3930491284566,126.22593071976306,117.33593973093893,7923199
1534253400,120.54,120.56,120.03,120.14,120.21805009210635,118.79194990789364,120.92886334678852,118.86245010741494,126.00248211369674,117.11768916281925,4251313
1534339800,120.66,121.13,120.57,120.84,120.21964143211261,118.79035856788738,121.25050480180694,118.7246727743937,125.09817983843188,116.88123889995128,7649988
1534426200,120.81,120.93,120.28,120.83,120.42588917212827,119.00411082787173,121.90041854139945,119.19331856702983,125.78310547684998,117.48143566090496,5400385
1534512600,121.09,121.3858,120.75,120.98,120.58712730127287,119.18387269872714,122.03149176903553,119.31272859735111,125.77766712591219,117.47007360915761,3537626
1534771800,121.64,121.91,121.535,121.79,120.59319319362773,119.17780680637229,122.23819345562329,119.43955047303854,125.15838833572954,117.59746497836014,5604121
1534858200,121.37,121.53,121.065,121.38,120.99946976719677,119.57573023280324,122.93290041019155,119.95708481550172,125.08632212097166,117.95039450579218,4695004
1534944600,122,122.0535,121.58,121.86,121.20271865707187,119.78728134292815,122.69410328262862,119.76711265459106,124.35387820693181,117.73329605792712,5309599
1535031000,122,122.13,121.78,122.05,121.19376939895606,119.79623060104393,123.14151892670424,120.80375666086933,124.6782654890309,117.95257118510955,5329024
1535117400,121.62,122.33,121.49,122.29,121.18857353201923,119.80142646798078,123.35556612881537,120.99542716673864,124.82244042871196,118.03749856741463,6092150
1535376600,121.78,121.87,121.52,121.59,121.11316887854989,119.87683112145012,123.60825814192863,121.22629137776575,125.00072859100078,118.15550242152368,6407403
1535463000,121,121.09,120.6812,120.86,121.11150248838098,119.87849751161903,123.05336164436525,120.76968433552666,124.56593262808643,117.76590945824432,4929337
1535549400,120.94,121.145,120.615,121.02,121.11137696799257,119.87862303200744,122.68126803656916,120.30465153372207,124.09979010197408,117.33988734991796,5613329
1535635800,121.31,121.46,121.08,121.28,121.10111470735112,119.8888852926489,122.83793487827387,120.44185429082975,124.22023501972352,117.4094018559409,5302865
1535722200,121.89,121.92,120.89,120.995,121.09176666831797,119.89823333168202,122.68561189977976,120.55224469256515,124.4096965296257,117.54252442123907,9677540
1536067800,119.96,120.095,119.75,120.03,121.10347172236175,119.88652827763826,122.61313245026854,120.08705328298109,123.97115843022813,117.35643822350431,18343553
1536154200,119.76,119.9,119.5464,119.71,121.09200016415187,119.89799983584814,122.22186573794383,119.36448545736569,123.26080503020799,116.75000559080422,9422630
1536240600,119.76,120.4,119.6947,120.15,121.0766584516453,119.91334154835471,122.06228379855288,119.03123212379889,123.02398123347939,116.52513781353944,9566047
1536327000,119.33,119.4,118.99,119.13,121.08911259268581,119.9008874073142,121.90421811985841,119.26703633174311,123.35864242477888,116.77504146359531,11212607
1536586200,119.17,119.6,119.17,119.57,121.09110708982116,119.89889291017883,121.2360254395686,118.4218128973473,122.58615818101292,116.1001287272776,6386352
1536672600,119.08,119.17,118.6,118.66,121.10218851134788,119.88781148865215,121.32502296428066,118.70147192816901,122.67255502405725,116.35609069563144,5440021
1536759000,119.05,119.17,118.9,118.94,121.10326758625193,119.88673241374809,120.12256686564893,117.91437701877082,122.3142209665843,115.73352760869395,3347210
1536845400,119.34,119.57,118.98,119.12,121.09036852838823,119.8996314716118,120.31144290567,118.09159256134026,122.4427129481036,115.88964439600265,4833033
1536931800,118.41,118.91,118.2999,118.55,121.09420997888229,119.89579002111772,119.90078664096042,118.16736759245816,122.53534920950688,115.983741902455,5579455
1537191000,118.18,118.82,118.12,118.55,121.09413219925193,119.89586780074806,119.34255543820623,117.68159592797068,122.27287821224823,115.57250199498036,5432961
1537277400,118.06,118.065,117.16,117.31,120.64923302175029,119.4307669782497,119.31322489391228,117.64652718878226,122.2744211367056,115.54559372994527,10182303
1537363800,117.105,117.11,116.19,116.61,120.15443228291899,118.95556771708102,118.35674745834683,116.66062949339516,121.63233437971772,114.63627018322194,13379645
1537450200,116.58,117.3,116.47,117.15,120.15316880660333,118.9568311933967,117.98019900839515,116.00330762451156,121.2382603466634,113.97934820249267,8657325
1537536600,116.87,117.275,116.84,117.1,120.1531426375999,118.9568573624001,118.03194008677099,116.21802768918758,121.51045836699682,114.47411186301707,6173846
1537795800,116.74,117.27,116.72,116.8,120.15253646140349,118.95746353859654,117.9404998994399,115.9413802418986,121.46463436980679,114.4125265502764,5505769
1537882200,116.48,116.74,116.4,116.68,120.15184934718492,118.9581506528151,117.66199086239001,115.56763360695226,121.27390055430344,114.14003078360192,6650853
1537968600,116.93,117.58,116.66,117.5,120.14386112488232,118.96613887511768,117.52412737701225,115.37319685713933,121.18305134835958,114.02293608128963,9512864
1538055000,117.24,117.65,117.1,117.58,120.14404050613975,118.96595949386027,118.1644972959201,115.67069836521608,121.65560220938964,114.62556979803036,5758577
1538141400,117.85,117.91,117.22,117.27,120.14328236563597,118.96671763436404,118.21411037306366,115.5890504149372,121.69399385659831,114.65987563453112,12807703
1538400600,116.66,116.83,116.12,116.15,120.12228119364158,118.91771880635842,117.93632130950408,115.44005257004642,121.49245026843543,114.40931456307327,22442374
1538487000,116.67,117.13,116.6,116.86,120.12409263099073,118.91590736900928,117.45649587326002,114.65398275887833,120.77170777106576,113.50763335934101,8266949
1538573400,116.27,116.36,114.24,114.83,119.22670489404703,117.93329510595296,117.68587429193659,115.06005389022168,121.20674302507238,114.05868601772926,20829180
1538659800,114.13,114.39,113.71,114.02,118.93803132460651,117.64196867539349,116.84104940136159,113.54549946425462,119.86467018159668,112.25847817191814,16207617
1538746200,113.39,113.72,112.62,113.04,118.39474588170505,117.09525411829496,116.36145341282844,112.8221300442297,119.2936065528607,111.49151576848823,18096505
1539005400,112.99,113.11,112.64,112.66,118.39529420968383,117.0947057903162,115.91817643359443,111.94342514137091,118.61274972806692,110.56341938659286,5855890
1539091800,113.14,113.85,113.07,113.8,118.41226454373329,117.07773545626671,115.58904081710477,111.566627740632,118.33193744896202,110.19955733851737,11530860
1539178200,113.14,113.575,112.785,113.49,118.41246066565517,117.07753933434485,115.9323676813673,111.82961792408553,119.03862739884192,111.26862770345018,15290066
1539264600,114,115.15,113.79,114.87,118.22728670322613,116.84271329677385,115.66129543858403,111.37863841321288,118.78884067770453,110.9712752252932,16087021
1539351000,114.39,115.01,114.28,114.47,118.22669050507,116.84330949493,116.07624564852932,111.79291013169131,119.72706925735119,111.79291013169131,6794138
1539610200,114.66,114.8168,114.29,114.42,118.22662936967718,116.84337063032281,115.7261711109415,111.46284161367919,119.4197720093638,111.46284161367919,7146281
1539696600,114.39,114.72,114.16,114.68,118.22680481555018,116.84319518444981,115.65268314747739,111.3050192434205,119.35882227578169,111.3050192434205,4762322
1539783000,114.66,114.785,113.98,114,118.16177938068464,116.78822061931537,115.88884381997788,111.32017972657971,119.52200803695162,111.32017972657971,5880696
1539869400,113.62,114.39,113.55,113.96,118.14106646673322,116.80893353326677,115.63694717226618,110.85451733385507,119.00477553626335,110.85451733385507,5728828
1539955800,113.85,113.95,113.4103,113.71,118.1189658187305,116.8310341812695,115.68355578408551,110.74338466077481,118.95034783038828,110.74338466077481,10892437
1540215000,113.95,114.08,113.53,113.56,118.11596647836633,116.83403352163366,115.56737506865197,110.5040122427357,118.74090342229432,110.5040122427357,3244179
1540301400,114.76,115.02,113.84,113.92,118.11853417270272,116.83146582729728,115.49501143986873,110.33287115098008,118.60422343552112,110.3326015399539,10330735
1540387800,114.36,114.82,114.24,114.78,118.1296290177011,116.82037098229888,115.78752975890785,110.52433114137294,118.84978360722835,110.45149159518759,16008012
1540474200,114.54,114.74,114.23,114.3,118.13081207131606,116.81918792868393,116.47483182554808,112.60018592044727,119.47598652884359,110.56174029768381,12613470
1540560600,114.93,115.32,114.79,114.99,118.13683679539014,116.81316320460985,116.13925983019091,112.89108508518864,119.09474136674237,110.31322919347043,18582470
1540819800,114.84,115.02,114.26,114.73,118.13119287537339,116.81880712462659,116.7194535908792,113.59469309421486,119.43969108922322,110.38409176853946,7679887
1540906200,114.26,114.54,114.02,114.16,118.11824889419432,116.83175110580568,116.54103588377667,113.49569561158066,119.0457704725791,110.20064865883711,9939616
1540992600,113.74,113.96,113.21,113.58,118.12089105968275,116.82910894031724,115.49177694205079,113.2317402210722,118.56496617090191,109.91838612614589,8706583
1541079000,112.85,113.56,112.8399,113.41,118.115450014583,116.83454998541698,114.99932691887676,112.86336619234986,118.07177240600015,109.6207841242834,6100276
1541165400,113.17,113.26,111.9,112,117.77572043150066,116.45427956849935,114.9041446373425,112.71793974310444,117.75446223891977,109.45144938208631,11315059
1541428200,112.48,112.71,112.35,112.44,117.77657266053906,116.45342733946094,114.13639931534948,111.53764044253448,115.69405592343566,108.67869627809185,4760223
1541514600,112.6,112.73,112.3333,112.37,117.77600105141615,116.45399894858386,114.29283924352663,111.5457383805335,115.46169202276957,108.88290174475019,3159875
1541601000,113.19,113.4,112.409,112.52,117.76240373517993,116.46759626482007,114.20663183023996,111.22086977882766,115.38189869602199,108.74526423511553,9313311
1541687400,112.96,112.97,112.41,112.51,117.75090657176133,116.47909342823867,114.27313126302691,111.06083323209918,115.49890435103693,108.69614849583824,6905193
1541773800,112.75,113.4967,112.72,113.35,117.76289763710753,116.46710236289248,114.23951041878132,110.8996496690048,114.90440588688523,108.59017387402771,6465323
1542033000,113.95,114.31,113.91,114.09,117.77172164573953,116.45827835426049,114.82838785075586,111.17777179762417,115.46549386851495,108.83346753256018,6840265
1542119400,113.71,114.02,113.4845,114.02,117.76429241064578,116.46570758935425,115.37604096883982,111.4916367882685,116.1336986689954,109.05154433570435,6525830
1542205800,113.48,114.52,113.3,114.09,117.76456841652919,116.46543158347085,115.06593232413287,111.41845241865123,116.07715683696271,108.94504110890503,8690822
1542292200,114.44,114.54,113.68,114.04,117.76382205500471,116.46617794499531,114.79164797339726,111.42894666730818,116.14649011237404,108.89998988163286,7879799
1542378600,114.2,114.81,113.92,114.7,117.76164867706203,116.46835132293798,115.01420278428155,111.37334863614913,116.10665278652571,108.80629458367542,9236764
1542637800,114.41,115.02,114.41,115.02,117.7629123660063,116.46708763399371,115.56249026395031,111.77462443040821,116.7152996777416,109.02920853049552,7027204
1542724200,115.24,115.46,114.93,115.06,117.7592375313682,116.47076246863182,115.8989284317908,112.17258024945097,117.0159951312449,109.11070760383373,6332804
1542810600,114.89,115.09,114.54,115.02,117.75825039058644,116.47174960941356,116.01989930427816,112.68140448520639,117.06051239368378,109.3400769473092,4951058
1542983400,115.67,115.76,115.09,115.14,117.55136019742777,116.26863980257224,116.06005808539055,113.21552306160298,117.03089855503269,109.27236920753502,3027861
1543242600,114.86,115.06,114.78,114.88,117.54773388612614,116.27226611387385,116.21358487535043,113.58330949203366,117.14886309058373,109.2871018291018,6599041
1543329000,114.81,115.25,114.76,115.01,117.54382573990671,116.27617426009327,116.04664344195321,114.42300711251843,116.91393042434561,109.10902220459496,5967245
1543415400,114.85,115.02,114.36,114.45,117.54582356884707,116.27417643115292,116.192610444663,114.56174778104831,117.04074070922796,109.23221616882559,7814288
1543501800,114.92,115.25,114.59,114.9,117.54818950914635,116.27181049085365,115.92164544202237,114.3007952847222,116.52303127971676,109.19320392040004,7295627
1543588200,115.31,115.42,114.98,115.33,116.78711927451657,115.51288072548344,116.2275408771211,114.42246837437482,116.94870336862358,109.41850641544242,9126693
1543847400,114.68,115.88,114.66,115.88,116.78296488380897,115.51703511619104,116.55766174751278,114.52268817280392,117.35720437649114,109.6380081619239,9763851
1543933800,116.81,118.67,116.625,117.82,116.82933404683187,115.47066595316814,116.55160930283662,114.72883908415137,117.87995802982206,110.21329345953367,18100549
1544106600,118.54,119.2,118.13,118.19,116.42638122649628,115.07361877350371,118.18783014011379,115.41161668898545,119.71311414517034,111.2433414388235,15319440
1544193000,117.81,118.53,117.52,118.41,116.4160016149222,115.0839983850778,118.57951022539476,115.80466064246814,120.0716258829818,111.48063496362961,8608467
1544452200,118.87,119.28,118.44,118.9,116.40148092975978,115.0685190702402,119.24375502183058,116.10200486402658,120.28928464307668,111.54402034061124,8777672
1544538600,118.97,119.38,118.61,118.88,116.39218235653873,115.07781764346127,119.98988068817724,116.48866772950115,120.76263646382493,111.70377175011066,8071952
1544625000,118.58,118.72,118.24,118.35,116.39445474968052,115.0755452503195,120.24604789007967,116.607667844966,120.75384834486515,111.930575631534,6182206
1544711400,118.46,118.58,117.98,118.07,116.29931149382594,114.98068850617406,120.02197974946867,116.41094132038434,120.26038524807656,111.7367040369696,5564328
1544797800,118.55,118.77,118.22,118.48,116.29773983893622,114.98226016106378,120.02826667600716,116.42603296815841,120.02826667600716,112.08854942064927,8169221
1545057000,118.59,119.3,118.58,119.17,116.30309025324148,114.97690974675851,120.42733073560376,116.95498647298763,120.42733073560376,112.28450515935016,9726781
1545143400,119.07,119.785,118.94,119.6,116.49001152013822,115.19498847986178,121.02297315342501,117.6337573619849,121.06665996217363,112.61924917734613,10019103
1545229800,120.11,121.66,119.92,121.18,117.45217793438047,116.10782206561953,121.45104630717712,118.41115761896114,121.48569949158603,112.83917073455561,23046272
1545316200,122.01,122.03,120.67,120.74,117.63838492723765,116.29161507276237,122.7691394099682,119.34466548989305,123.00405759815096,113.62122740194087,18543731
1545402600,121.14,121.21,120.39,120.72,117.63831942705706,116.29168057294294,122.5212702778176,119.19888841588498,122.59362542233394,113.43419274424477,9945103
1545661800,121.13,121.42,120.91,121.32,117.63990282622892,116.2900971737711,122.55657677637144,119.26305385653649,122.61361967589475,113.44854084408698,8377482
1545834600,120.99,121.39,119.97,120.02,117.65976021322521,116.27023978677478,123.09239284046171,119.73679844418307,123.17666186257128,113.77523885722375,11700412
1545921000,121.26,121.38,119.98,120.04,117.65290734641259,116.27709265358743,122.29792046993067,118.8723550324529,122.44185064017579,113.34230422039883,12146772
1546007400,120.4,121.05,120.29,121.05,117.66286922252534,116.26713077747468,122.2781453300811,118.91274169285104,122.68102725001519,113.6845920604132,9879116
1546266600,120.65,121.56,120.46,121.51,117.66299678229676,116.26700321770325,122.99030667466896,119.70141555373765,123.29206199595956,114.27344343215715,17408971
