time,open,high,low,close,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume
1534771800,285.57,285.97,285.06,285.67,278.4022626427737,275.3677373572263,,,,,39807490
1534858200,286.25,287.31,285.7135,286.34,279.05186293447684,276.0181370655231,289.0468111234203,281.7832765285965,293.03615999072315,274.13085900970043,67271983
1534944600,285.88,286.76,285.575,286.17,279.05099193535057,276.01900806464937,289.5312161628999,282.0477047189012,293.65999280804147,274.65523387601735,44993333
1535031000,285.97,286.94,285.43,285.79,279.04958092552437,276.02041907447557,289.50997154814985,282.0144378077203,293.56441067911254,274.5632935066732,49204851
1535117400,286.44,287.67,286.38,287.51,279.23733865730657,276.1926613426935,288.3162320010552,281.85663991681645,292.9247179414282,274.3122476168704,57487399
1535376600,288.86,289.9,288.68,289.78,280.6795604234123,277.7104395765877,289.1836936022322,282.7648656626689,294.16150882280095,275.62724815550393,57072377
1535463000,290.3,290.4175,289.4,289.92,280.8766388343631,278.03086116563685,291.1055152576499,284.08505836122265,296.15855858105624,277.36552488628627,46943472
1535549400,290.16,291.74,289.8854,291.48,281.5265261203778,278.7034738796222,291.4404932277932,284.28722998613995,296.33999726010893,277.5135645774051,61485514
1535635800,290.94,291.36,289.63,290.3,281.50431300689405,278.72568699310597,292.88030086537196,285.67028405342336,297.8288369838077,278.73572742397687,61229501
1535722200,289.84,290.81,289.29,290.31,281.49803752624035,278.73196247375967,292.50677372832286,285.5227744228955,296.78986806129376,277.8843027075443,66140838
1536067800,289.84,290.21,288.68,289.81,281.5010020967582,278.7289979032418,292.9961675850558,287.4437908494989,296.85520388134194,277.93195269806023,57594367
1536154200,289.41,289.64,287.89,289.03,281.48028757449373,278.7497124255063,293.3544403720146,287.21124027098625,296.6847669148084,277.58661189920196,72452437
1536240600,289.15,289.49,287,288.16,281.48608237075365,278.7439176292464,293.56752555563105,286.51852182709666,296.3064333131838,277.02032247101914,65909863
1536327000,286.98,288.7,286.71,287.6,281.4863650113875,278.7436349886125,293.6115829043951,287.274013386406,295.88922611937227,276.377613720048,73524824
1536586200,288.74,289.04,287.88,288.1,281.48673605902013,278.7432639409799,292.8788473573081,286.83658721541644,295.67735774083525,276.38054412705077,50210903
1536672600,287.37,289.55,286.975,289.05,281.48989543427035,278.74010456572967,292.9362515385645,287.1195189659341,296.1456947966211,276.80891939739263,50530492
1536759000,289.06,289.8,288.23,289.12,281.48343182490436,278.74656817509566,293.65552461565545,286.9913902357522,296.91389946869305,279.19624961131285,59810758
1536845400,290.32,291.0384,289.995,290.83,281.49434231504745,278.73565768495257,293.7891839307478,286.8125169977983,297.101403114896,279.98444884496814,51034222
1536931800,291.06,291.27,290,290.88,281.47540030616835,278.7545996938316,295.11083332440916,287.3222197730908,298.39192113164484,282.4758634614643,55079875
1537191000,290.82,290.86,289.03,289.34,281.4885055130381,278.74149448696187,295.2450930255069,287.3089205650322,298.56872477435036,282.5418077886832,68244043
1537277400,289.58,291.58,289.55,290.91,281.4884649874167,278.7415350125833,292.9407742564861,286.52868455582956,297.6463894541309,282.84539063101806,61930407
1537363800,290.97,291.69,290.825,291.22,281.4881599565847,278.7418400434153,292.4606826244593,287.27440241194284,298.860677664125,284.3142022173186,49080562
1537450200,292.64,293.94,291.2363,293.58,282.5925529685048,279.83744703149523,292.69593357273305,287.4288075068428,299.2064213199705,286.11638189346354,100360646
1537536600,293.09,293.22,291.81,291.99,282.6111207878359,279.8188792121642,294.5622264665101,288.8027841415296,301.0170598522332,287.6172151297774,105597145
1537795800,291.34,291.5,290.37,291.02,282.518802158226,279.9111978417741,294.01802015064936,288.6966039477036,300.00229206467543,286.7281451649306,53409645
1537882200,291.53,291.65,290.4833,290.75,282.52020618796297,279.9097938120371,294.2427530497589,288.1010484699246,299.2868530963548,286.1231674256178,44370037
1537968600,290.91,292.24,289.41,289.88,282.4850218634875,279.9449781365126,294.35811286619105,288.33603035701896,299.17348843409604,285.9346745123255,79739674
1538055000,290.41,291.91,290.1,290.69,282.85274477851317,280.32725522148684,294.2608977353049,288.328735063135,298.58899187673245,285.2542257900557,59249455
1538141400,289.99,291.28,289.95,290.72,282.85319491112523,280.32680508887483,294.6752072656922,289.168021759185,299.3039543235488,285.93679896125496,70091385
1538400600,292.11,292.93,290.98,291.73,283.44809159311217,280.91190840688785,294.82076881067724,288.9301095332509,297.85855604559055,285.984668434728,62078937
1538487000,291.56,292.355,291.14,291.56,283.70982730753644,281.19017269246353,295.2787862944853,289.0837554367286,298.4398962824195,286.84067455373196,47258227
1538573400,292.74,293.21,291.32,291.72,284.5663195182367,282.08868048176333,295.1937582051097,288.86862384466656,298.413298310544,286.724820253815,64694594
1538659800,291.18,291.24,287.66,289.44,286.47764796034613,283.962352039654,295.3664167428191,288.8441196441235,298.61869737506095,286.88141215562877,111545910
1538746200,289.69,290.27,286.22,287.82,286.47258508172274,283.9874149182773,293.6276074984398,287.4132632215178,297.0179767999924,284.9436227170905,105961360
