time,open,high,low,close,Trend,Trade,Trend,Trade,Buy,Buy,Mega Buy,Sell,Mega Sell,Up Target 1,Down Target 1,Up Target 2,Down Target 2,Period Open,Bullish Trend,Bearish Trend,Range High,Range Low,LT Range High,LT Range Low,Volume,Hurst Exponent 64,Hurst Exponent 256,Period 1,Period 2,Period 3,Vixfix,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Volatility,Trade,Trend,52-weeks high,52-weeks low
1534858200,29.48,29.67,29.43,29.535,29.25151398315805,29.178012669881507,29.25151398315805,29.178012669881507,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.815473136582515,29.29452686341748,,,,,9916096,0.63,0.62,-0.21983097177704009,-0.1269194707316911,0.1799806971823179,-46.30062002691647,-42.7569263552526,-42.7569263552526,-19.709590411145314,-19.709590411145314,162.2088006902313,-214.41702951138294,,,3.508196721311476,4.37816635243746,4.1347442187181755,,
1534944600,29.52,29.5675,29.3475,29.385,29.251728790384504,29.185111192631254,29.251728790384504,29.185111192631254,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.81598882628941,29.29401117371059,29.8739876439038,28.69929176545875,30.959615482420556,28.01777474857902,10865358,0.62,0.62,-0.25476280087250597,0.09931604982495217,-0.02277248062137715,-55.081772100986804,-26.63453357351103,-26.63453357351103,5.610251989972131,5.610251989972131,162.2088006902313,-214.41702951138294,,,3.778688524590163,4.354657418012076,4.134032818729907,,
1535031000,29.325,29.325,29.105,29.185,29.251463498096022,29.18251663605748,29.251463498096022,29.18251663605748,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.81685394083977,29.293146059160225,29.780361215643527,28.60709533539747,30.818261137275616,27.893727614512603,8884064,0.63,0.63,-0.6638736448298251,-0.07987066298951655,-0.22499839185207188,-80.89303728840582,-17.91413119849927,-17.91413119849927,-0.47332644847575,-0.47332644847575,162.2088006902313,-214.41702951138294,,,4.573770491803277,4.363250087572515,4.134911415479305,,
1535117400,29.34,29.6025,29.31,29.565,29.251604230367562,29.187982650329733,29.251604230367562,29.187982650329733,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.820593526575898,29.2894064734241,29.65366419786599,28.475232756400185,30.553488214566823,27.72825115660348,9903164,0.63,0.63,0.25730162952702945,0.18187492316227816,-0.16033135490181064,-59.07320486192805,-4.647642821512505,-4.647642821512505,21.885333932461023,21.885333932461023,162.2088006902313,-214.41702951138294,,,3.901639344262299,4.345147705481919,4.1344453374149355,,
1535376600,29.625,30.065,29.625,29.97,29.252367758378814,29.205463722865822,29.252367758378814,29.205463722865822,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.81701406660341,29.29298593339659,29.856164101527252,28.685577209816653,30.917909273214004,28.033862005435488,11218176,0.67,0.63,1.0780359035336786,0.6154637236998097,0.11793213626654128,-36.59252861296788,18.155743931252445,18.155743931252445,63.762517436782346,63.762517436782346,162.2088006902313,-214.41702951138294,,,2.8688524590163933,4.287253774247977,4.131916680315238,,
1535463000,30.015,30.1475,29.76,29.855,29.253396793826607,29.227500439616183,29.253396793826607,29.227500439616183,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.814122996930173,29.295877003069826,30.14454433079392,28.936334371143452,30.896903605726212,28.345597781732426,7686238,0.71,0.63,0.6765572803606731,0.288934977028613,0.14068914100947352,-22.27371306876285,43.443672081370416,43.443672081370416,94.01952838160636,94.01952838160636,162.2088006902313,-214.41702951138294,,,2.426229508196716,4.214272430481261,4.1285087139373795,,
1535549400,29.86,30.1325,29.73,30.08,29.25436443260018,29.247508265513588,29.25436443260018,29.247508265513588,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.81340382711999,29.296596172880008,30.115598841690172,28.865743011404334,30.67079177561471,28.25431497488466,8557008,0.71,0.63,1.5247670252159227,0.637923736018436,0.2639129002149215,-36.98709999284281,66.74302463665404,66.74302463665404,113.3417297472213,113.3417297472213,162.2088006902313,-214.41702951138294,,,2.524590163934425,4.1480103808127575,4.125304081469841,,
1535635800,29.94,30.08,29.635,29.725,29.25514222594164,29.26304323549345,29.25514222594164,29.26304323549345,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.811453879197803,29.298546120802197,30.310004287737634,29.020645094386772,30.882049894374607,28.428346652484713,11678504,0.7,0.62,0.8895779743619673,0.32291832313411994,0.457947198541799,-47.026455705185796,81.21105958207316,81.21105958207316,110.14712947291139,110.14712947291139,162.2088006902313,-214.41702951138294,,,2.8360655737704867,4.096561564850315,4.122728180355557,,
1535722200,29.68,29.87,29.57,29.635,29.255789893821877,29.27544546155253,29.255789893821877,29.27544546155253,0,0,0,0,0,30.576099999999997,29.1663,31.209799999999998,28.532600000000002,29.8,29.81082647651306,29.299173523486935,30.29597495442772,28.778118639656743,30.555090365395667,28.148350407127666,8561474,0.64,0.62,0.5131283858106256,0.3464607437635007,0.3555858778606136,-53.895488560999645,81.58945976259486,81.58945976259486,82.34626012363825,82.34626012363825,162.2088006902313,-214.41702951138294,,,3.0491803278688514,4.055487790851042,4.120583229601338,,
1536067800,29.555,29.57,29.2775,29.43,29.25585769623182,29.27600544345243,29.25585769623182,29.27600544345243,0,0,0,0,0,30.375,27.6875,31.195,26.8675,29.555,29.810469259369707,29.29953074063029,30.270421731386193,29.050906861497438,30.473240022687392,28.07516248775189,11944434,0.64,0.62,0.012175637452710249,0.31751222779472316,0.195876872829088,-84.80613641216138,36.96187907509647,36.96187907509647,66.71359953342872,66.71359953342872,162.2088006902313,-214.41702951138294,,,4.008196721311476,4.053633239104392,4.120358681133226,,
